116,绳、索、缆制造,用天然纤维和化学纤维制造绳、索具、缆绳、合股线的生产活动
117,纺织带和帘子布制造,帘子布、复合材料用基布、输送带基布、传送带和胶管等增强材料的生产活动
118,篷、帆布制造,车用篷布、帐篷布、鞋用纺织材料、灯箱布等纺织材料的生产活动
119,其他产业用纺织制成品制造,革基布，过滤、防护用纺织品，工业用毡、呢，建筑用纺织品，交通运输用纺织品，包装用纺织品，文体用纺织品，绝缘隔热纺织品，农业用纺织品，渔业用纺织品，造纸用纺织品等其他产业用纺织制成品的生产活动
120,纺织服装、服饰业,
121,机织服装制造,机织面料为主要原料，缝制各种男、女服装，及儿童成衣的活动；包括非自产原料制作的服装，及固定生产地点的服装制作活动
122,运动机织服装制造,运动服、滑雪服、登山服、游泳衣等服装制造
123,其他机织服装制造,除运动机织服装外的其他机织服装制造
124,针织或钩针编织服装制造,针织、钩针编织面料为主要原料，经裁剪后缝制各种男、女服装，及儿童成衣的活动
125,运动休闲针织服装制造,针织T恤、针织休闲衫、针织运动类服装制造
126,其他针织或钩针编织服装制造,除运动休闲针织服装外其他针织或钩织编织服装制造
127,服饰制造,帽子、手套、围巾、领带、领结、手绢，及袜子等服装饰品的加工
128,皮革、毛皮、羽毛及其制品和制鞋业,
129,皮革鞣制加工,动物生皮经脱毛、鞣制等物理和化学方法加工，再经涂饰和整理，制成具有不易腐烂、柔韧、透气等性能的皮革生产活动
130,皮革制品制造,
131,皮革服装制造,全部或大部分用皮革、人造革、合成革为面料，制作各式服装的活动
132,皮箱、包（袋）制造,全部或大部分用皮革、人造革、合成革为材料，或者塑料、纺织物为材料，制作各种用途的皮箱、皮包(袋)，或其他材料的箱、包(袋)等制作活动
133,皮手套及皮装饰制品制造,全部或大部分用皮革、人造革、合成革为材料制成的皮手套、皮带，及皮领带等皮装饰制品的生产活动
134,其他皮革制品制造,全部或大部分用皮革、人造革、合成革为材料制成上述未列明的其他各种皮革制品的生产活动
135,毛皮鞣制及制品加工,
136,毛皮鞣制加工,带毛动物生皮经鞣制等化学和物理方法处理后，保持其绒毛形态及特点的毛皮(又称裘皮)的生产活动
137,毛皮服装加工,用各种动物毛皮和人造毛皮为面料或里料，加工制作毛皮服装的生产活动
138,其他毛皮制品加工,用各种动物毛皮和人造毛皮为材料，加工制作上述类别未列明的其他各种用途毛皮制品的生产活动
